Type,Magnitude,Place,Time,Updated,Ids,Coords,Felt,CDI,MMI,Alert,Tsunami,sig,rms,Size
earthquake,0.83,"15km WSW of Searles Valley, CA",2022-01-05 20:01:18.860,2022-01-05 20:26:38.267,ci39903303,"[-117.5565, 35.72, 8.79]",,,,,0,11,0.13,12.623626373626374
earthquake,-0.04,"98 km NNW of Karluk, Alaska",2022-01-05 19:59:15.580,2022-01-06 23:54:14.240,av91457916,"[-154.915833333333, 58.4153333333333, 5.49]",,,,,0,0,0.17,11.428571428571429
earthquake,4.4,"26 km ESE of Kokopo, Papua New Guinea",2022-01-05 19:56:48.919,2022-03-12 23:19:22.040,us7000gc06,"[152.4712, -4.4643, 105.31]",,,,,0,298,0.95,17.527472527472526
earthquake,0.66,"2km ENE of The Geysers, CA",2022-01-05 19:56:02.040,2022-01-05 20:09:10.408,nc73674121,"[-122.7330017, 38.7859993, 2.11]",,,,,0,7,0.02,12.39010989010989
earthquake,0.4,"21km NNW of Borrego Springs, CA",2022-01-05 19:52:34.440,2022-01-05 20:38:00.457,ci39903295,"[-116.4661667, 33.4276667, 14.78]",,,,,0,2,0.14,12.032967032967033
earthquake,0.83,"21 km SE of Kanarraville, Utah",2022-01-05 19:50:45.030,2022-01-06 16:50:57.660,uu60476267,"[-112.9901667, 37.4263333, 2.15]",,,,,0,11,0.09,12.623626373626374
earthquake,-0.05,"1km NW of The Geysers, CA",2022-01-05 19:44:36.620,2022-01-08 07:09:44.207,nc73674116,"[-122.766, 38.7876667, 2.63]",,,,,0,0,0.03,11.414835164835164
earthquake,1.0,"36 km SE of Mina, Nevada",2022-01-05 19:44:01.476,2022-01-05 19:48:27.210,nn00831124,"[-117.812, 38.1556, 14.1]",,,,,0,15,0.0954,12.857142857142858
earthquake,1.56,"22 km ESE of Kanarraville, Utah",2022-01-05 19:42:29.360,2022-01-06 16:39:37.930,uu60476262,"[-112.9691667, 37.4366667, 2.22]",,,,,0,37,0.06,13.626373626373626
earthquake,2.02,"5 km NE of P?hala, Hawaii",2022-01-05 19:26:03.510,2022-01-05 19:31:35.020,hv72858722,"[-155.440673828125, 19.242000579834, 34.0400009155273]",,,,,0,63,0.119999997,14.258241758241759
earthquake,2.5,"25 km NNW of Valdez, Alaska",2022-01-05 19:23:07.383,2022-03-12 23:19:10.040,ak0228kjhbi,"[-146.5019, 61.343, 17.9]",,,,,0,96,0.55,14.917582417582416
earthquake,1.5,"46 km SSW of Skwentna, Alaska",2022-01-05 19:12:51.063,2022-01-31 19:01:21.087,ak0228kh6m5,"[-151.7807, 61.6164, 78.6]",,,,,0,35,0.48,13.543956043956044
earthquake,1.1,"29 km E of Denali National Park, Alaska",2022-01-05 19:09:06.967,2022-01-31 19:01:32.906,ak0228kghc8,"[-151.1349, 63.5114, 7.3]",,,,,0,19,0.49,12.994505494505495
earthquake,1.5,"34 km SE of Mina, Nevada",2022-01-05 19:08:26.814,2022-01-06 23:32:46.658,nn00831122,"[-117.8201, 38.1743, 7.6]",,,,,0,35,0.0648,13.543956043956044
earthquake,0.41,"9km SSW of Idyllwild, CA",2022-01-05 19:07:29.870,2022-01-05 20:34:31.311,ci39903247,"[-116.7505, 33.6603333, 13.58]",,,,,0,3,0.05,12.046703296703296
earthquake,0.41,"7km NW of The Geysers, CA",2022-01-05 19:06:47.930,2022-01-08 05:49:09.937,nc73674101,"[-122.8183333, 38.8141667, 2.08]",,,,,0,3,0.02,12.046703296703296
earthquake,4.9,"Kermadec Islands, New Zealand",2022-01-05 19:06:11.233,2022-03-12 23:19:22.040,us7000gc03,"[-177.4975, -30.4517, 10]",,,,,0,369,0.86,18.214285714285715
earthquake,1.29,"21 km SE of Kanarraville, Utah",2022-01-05 19:03:42.330,2022-01-05 23:47:02.930,uu60476252,"[-112.9841667, 37.4293333, 6.72]",,,,,0,26,0.21,13.255494505494505
earthquake,4.7,"19 km N of Kandrian, Papua New Guinea",2022-01-05 18:59:31.049,2022-03-12 23:19:10.040,us7000g9as,"[149.5608, -6.0265, 65.15]",,,,,0,340,0.92,17.939560439560438
earthquake,1.09,"50 km ESE of West Yellowstone, Montana",2022-01-05 18:54:52.780,2022-01-05 23:02:23.240,uu60029754,"[-110.546, 44.441, 4.67]",,,,,0,18,0.13,12.98076923076923
